"LOCID" "description" "feature"
"14239" "LOC117692218" "uncharacterized protein LOC117692218 isoform X1" "genome"
"14240" "LOC105341820" "probable inactive peptidyl-prolyl cis-trans isomerase-like 6" "genome"
"14241" "LOC105341786" "uncharacterized protein LOC105341786" "genome"
"14242" "LOC105326062" "proteasomal ATPase-associated factor 1" "genome"
"14243" "LOC117692219" "E3 ubiquitin-protein ligase TRIM71-like" "genome"
"14244" "LOC105325070" "uncharacterized protein LOC105325070" "genome"
"14245" "LOC105325111" "beta-1,4-N-acetylgalactosaminyltransferase bre-4 isoform X2" "genome"
"14246" "LOC105329774" "uncharacterized protein LOC105329774" "genome"
"14247" "LOC105329849" "uncharacterized protein LOC105329849" "genome"
"14248" "LOC105330005" "uncharacterized protein LOC105330005" "genome"
"14249" "LOC105337395" "deleted in malignant brain tumors 1 protein isoform X1" "genome"
"14250" "LOC105321813" "blood vessel epicardial substance-A-like" "genome"
"14251" "LOC105332240" "popeye domain-containing protein 3 isoform X1" "genome"
"14252" "LOC105332241" "uncharacterized protein LOC105332241 isoform X1" "genome"
"14253" "LOC105332242" "uncharacterized protein LOC105332242" "genome"
"14254" "LOC105331179" "transient receptor potential cation channel subfamily A member 1 homolog isoform X3" "genome"
"14255" "LOC117692221" "uncharacterized protein LOC117692221" "genome"
"14256" "LOC105331174" "thrombospondin-2 isoform X1" "genome"
"14257" "LOC117692222" "uncharacterized protein LOC117692222 isoform X1" "genome"
"14258" "LOC117690800" "E3 ubiquitin-protein ligase TRIM36-like" "genome"
"14259" "LOC117680418" "protein PELPK1-like" "genome"
"14260" "LOC117691387" "small glutamine-rich tetratricopeptide repeat-containing protein beta-like" "genome"
"14261" "LOC105336007" "tumor susceptibility gene 101 protein" "genome"
"14262" "LOC117691388" "putative per-hexamer repeat protein 5" "genome"
"14263" "LOC117691389" "uncharacterized protein LOC117691389 isoform X2" "genome"
"14264" "LOC105321277" "phosducin-like protein 3" "genome"
"14265" "LOC117691391" "uncharacterized protein LOC117691391" "genome"
"14266" "LOC105335324" "inhibitor of Bruton tyrosine kinase isoform X1" "genome"
"14267" "LOC105335302" "uncharacterized protein LOC105335302" "genome"
"14268" "LOC105335322" "mucin-2" "genome"
"14269" "LOC117691393" "multiple epidermal growth factor-like domains protein 10" "genome"
"14270" "LOC109617507" "uncharacterized protein LOC109617507" "genome"
"14271" "LOC105335297" "uncharacterized protein LOC105335297" "genome"
"14272" "LOC105335299" "uncharacterized protein LOC105335299 isoform X3" "genome"
"14273" "LOC117691394" "uncharacterized protein LOC117691394" "genome"
"14274" "LOC117691848" "uncharacterized protein LOC117691848" "genome"
"14275" "LOC117692033" "uncharacterized protein LOC117692033" "genome"
"14276" "LOC117692034" "flocculation protein FLO11-like" "genome"
"14277" "LOC109619292" "uncharacterized protein LOC109619292" "genome"
"14278" "LOC105335294" "uncharacterized protein LOC105335294" "genome"
"14279" "LOC105335317" "SAFB-like transcription modulator" "genome"
"14280" "LOC105335292" "baculoviral IAP repeat-containing protein 3 isoform X4" "genome"
"14281" "LOC105335290" "uncharacterized protein LOC105335290" "genome"
"14282" "LOC105332974" "uncharacterized protein LOC105332974" "genome"
"14283" "LOC117691853" "baculoviral IAP repeat-containing protein 2-like" "genome"
"14284" "LOC117680390" "uncharacterized protein LOC117680390" "genome"
"14285" "LOC105329231" "uncharacterized protein LOC105329231" "genome"
"14286" "LOC117691854" "adenomatous polyposis coli protein-like" "genome"
"14287" "LOC117691858" "tyrosine 3-monooxygenase-like" "genome"
"14288" "LOC105331463" "E3 ubiquitin-protein ligase TRIM71-like" "genome"
"14289" "LOC109619146" "uncharacterized protein LOC109619146" "genome"
"14290" "LOC117691857" "protein lin-41-like" "genome"
"14291" "LOC105331466" "baculoviral IAP repeat-containing protein 7" "genome"
"14292" "LOC105344548" "uncharacterized protein LOC105344548 isoform X1" "genome"
"14293" "LOC105323701" "multiple epidermal growth factor-like domains protein 10 isoform X2" "genome"
"14294" "LOC105323700" "multiple epidermal growth factor-like domains protein 10 isoform X3" "genome"
"14295" "LOC109617082" "multiple epidermal growth factor-like domains protein 6" "genome"
"14296" "LOC105323697" "multiple epidermal growth factor-like domains protein 10" "genome"
"14297" "LOC117691855" "uncharacterized protein LOC117691855 isoform X1" "genome"
"14298" "LOC117691856" "E3 ubiquitin-protein ligase TRIM71-like isoform X1" "genome"
"14299" "LOC105337800" "baculoviral IAP repeat-containing protein 3" "genome"
"14300" "LOC105337799" "uncharacterized protein LOC105337799 isoform X1" "genome"
"14301" "LOC105337798" "tyrosine 3-monooxygenase" "genome"
"14302" "LOC105337797" "uncharacterized protein LOC105337797" "genome"
"14303" "LOC105337796" "putative glutamate synthase [NADPH] isoform X2" "genome"
"14304" "LOC117691867" "uncharacterized protein LOC117691867" "genome"
"14305" "LOC105342036" "E3 ubiquitin-protein ligase TRIM71" "genome"
"14306" "LOC117691897" "uncharacterized protein LOC117691897" "genome"
"14307" "LOC105323696" "uncharacterized protein LOC105323696 isoform X4" "genome"
"14308" "LOC117691880" "multiple epidermal growth factor-like domains protein 10" "genome"
"14309" "LOC117691881" "uncharacterized protein LOC117691881" "genome"
"14310" "LOC117691882" "protein draper-like" "genome"
"14311" "LOC117692035" "uncharacterized protein LOC117692035" "genome"
"14312" "LOC117691896" "uncharacterized protein LOC117691896" "genome"
"14313" "LOC117692036" "multiple epidermal growth factor-like domains protein 11" "genome"
"14314" "LOC117691895" "protein draper-like" "genome"
"14315" "LOC117691871" "uncharacterized protein LOC117691871 isoform X2" "genome"
"14316" "LOC117691868" "uncharacterized protein LOC117691868" "genome"
"14317" "LOC117692037" "death-associated inhibitor of apoptosis 2-like" "genome"
"14318" "LOC117691892" "baculoviral IAP repeat-containing protein 7-like" "genome"
"14319" "LOC117691890" "uncharacterized protein LOC117691890" "genome"
"14320" "LOC117691888" "uncharacterized protein LOC117691888" "genome"
"14321" "LOC117691869" "uncharacterized protein LOC117691869" "genome"
"14322" "LOC105327491" "uncharacterized protein LOC105327491" "genome"
"14323" "LOC117691889" "uncharacterized protein LOC117691889 isoform X2" "genome"
"14324" "LOC117691875" "E3 ubiquitin-protein ligase TRIM71-like" "genome"
"14325" "LOC117691884" "uncharacterized protein LOC117691884 isoform X1" "genome"
"14326" "LOC117691885" "uncharacterized protein LOC117691885" "genome"
"14327" "LOC117692039" "multiple epidermal growth factor-like domains protein 10" "genome"
"14328" "LOC117691874" "multiple epidermal growth factor-like domains protein 10" "genome"
"14329" "LOC117691887" "baculoviral IAP repeat-containing protein 3-like isoform X2" "genome"
"14330" "LOC117691894" "baculoviral IAP repeat-containing protein 7-like" "genome"
"14331" "LOC117691886" "uncharacterized protein LOC117691886" "genome"
"14332" "LOC117692040" "uncharacterized protein LOC117692040" "genome"
"14333" "LOC105324058" "E3 ubiquitin-protein ligase TRIM71 isoform X1" "genome"
"14334" "LOC117691883" "baculoviral IAP repeat-containing protein 2-like isoform X1" "genome"
"14335" "LOC117692041" "multiple epidermal growth factor-like domains protein 9" "genome"
"14336" "LOC117691898" "multiple epidermal growth factor-like domains protein 10 isoform X1" "genome"
"14337" "LOC117691899" "uncharacterized protein LOC117691899" "genome"
"14338" "LOC117691878" "multiple epidermal growth factor-like domains protein 10" "genome"
"14339" "LOC105337795" "uncharacterized protein LOC105337795" "genome"
"14340" "LOC117692042" "uncharacterized protein K02A2.6-like" "genome"
"14341" "LOC117691876" "E3 ubiquitin-protein ligase TRIM71-like" "genome"
"14342" "LOC105324112" "tripartite motif-containing protein 2" "genome"
"14343" "LOC117691873" "uncharacterized protein LOC117691873" "genome"
"14344" "LOC117691879" "multiple epidermal growth factor-like domains protein 10" "genome"
"14345" "LOC105324125" "uncharacterized protein LOC105324125 isoform X1" "genome"
"14346" "LOC117691891" "scavenger receptor class F member 2-like" "genome"
"14347" "LOC117691870" "multiple epidermal growth factor-like domains protein 10" "genome"
"14348" "LOC117692043" "uncharacterized protein LOC117692043" "genome"
"14349" "LOC105345751" "multiple epidermal growth factor-like domains protein 11" "genome"
"14350" "LOC117680636" "multiple epidermal growth factor-like domains protein 10" "genome"
"14351" "LOC117691877" "E3 ubiquitin-protein ligase XIAP-like" "genome"
"14352" "LOC117691893" "baculoviral IAP repeat-containing protein 7-like" "genome"
"14353" "LOC117691872" "baculoviral IAP repeat-containing protein 7-like" "genome"
"14354" "LOC105331464" "protein lin-41" "genome"
"14355" "LOC105331473" "uncharacterized protein LOC105331473" "genome"
"14356" "LOC105331472" "tripartite motif-containing protein 45-like" "genome"
"14357" "LOC105331461" "uncharacterized protein LOC105331461" "genome"
"14358" "LOC105331460" "organic cation transporter protein" "genome"
"14359" "LOC105331458" "uncharacterized protein LOC105331458 isoform X2" "genome"
"14360" "LOC105331456" "organic cation transporter protein" "genome"
"14361" "LOC105331471" "uncharacterized protein LOC105331471" "genome"
"14362" "LOC105331452" "uncharacterized protein LOC105331452 isoform X2" "genome"
"14363" "LOC105331470" "uncharacterized protein LOC105331470" "genome"
"14364" "LOC117691105" "uncharacterized protein LOC117691105" "genome"
"14365" "LOC105331449" "LOW QUALITY PROTEIN: protein still life, isoform SIF type 1" "genome"
"14366" "LOC105331447" "protein odr-4 homolog" "genome"
"14367" "LOC105331448" "serine/arginine repetitive matrix protein 1 isoform X1" "genome"
"14368" "LOC105331445" "uncharacterized protein LOC105331445 isoform X1" "genome"
"14369" "LOC117692044" "uncharacterized protein LOC117692044" "genome"
"14370" "LOC117691108" "deleted in malignant brain tumors 1 protein-like isoform X2" "genome"
"14371" "LOC117691109" "uncharacterized protein LOC117691109" "genome"
"14372" "LOC117691112" "uncharacterized protein LOC117691112" "genome"
"14373" "LOC117680649" "uncharacterized protein LOC117680649" "genome"
"14374" "LOC117692045" "uncharacterized protein LOC117692045" "genome"
"14375" "LOC117691114" "uncharacterized protein LOC117691114" "genome"
"14376" "LOC105338981" "uncharacterized protein LOC105338981" "genome"
"14377" "LOC105338972" "uncharacterized protein LOC105338972 isoform X1" "genome"
"14378" "LOC105338971" "homogentisate 1,2-dioxygenase isoform X1" "genome"
"14379" "LOC105338968" "mitogen-activated protein kinase kinase kinase 5 isoform X1" "genome"
"14380" "LOC117691115" "splicing factor YJU2-like" "genome"
"14381" "LOC105334644" "potassium voltage-gated channel subfamily KQT member 1 isoform X2" "genome"
"14382" "LOC117691116" "uncharacterized protein LOC117691116" "genome"
"14383" "LOC117691122" "uncharacterized protein LOC117691122 isoform X6" "genome"
"14384" "LOC117691117" "sterile alpha motif domain-containing protein 9-like isoform X1" "genome"
"14385" "LOC117691121" "uncharacterized protein LOC117691121" "genome"
"14386" "LOC117691118" "A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like isoform X2" "genome"
"14387" "LOC109619033" "uncharacterized protein LOC109619033" "genome"
"14388" "LOC105339271" "uncharacterized protein LOC105339271" "genome"
"14389" "LOC109619109" "uncharacterized protein LOC109619109 isoform X1" "genome"
"14390" "LOC117691119" "E3 ubiquitin-protein ligase TRIM36-like" "genome"
"14391" "LOC105326186" "uncharacterized protein LOC105326186 isoform X1" "genome"
"14392" "LOC109617973" "pre-mRNA-splicing factor CWC22 homolog" "genome"
"14393" "LOC105336005" "protein PELPK1" "genome"
"14394" "LOC105336006" "small glutamine-rich tetratricopeptide repeat-containing protein beta" "genome"
"14395" "LOC117691120" "tumor susceptibility gene 101 protein-like" "genome"
"14396" "LOC105336008" "putative per-hexamer repeat protein 5" "genome"
"14397" "LOC105325316" "uncharacterized protein LOC105325316 isoform X3" "genome"
"14398" "LOC105325317" "THAP domain-containing protein 2" "genome"
"14399" "LOC117691123" "uncharacterized protein LOC117691123" "genome"
"14400" "LOC117691129" "uncharacterized protein LOC117691129" "genome"
"14401" "LOC117691130" "uncharacterized protein LOC117691130 isoform X1" "genome"
"14402" "LOC117691132" "uncharacterized protein LOC117691132" "genome"
"14403" "LOC105326798" "multiple epidermal growth factor-like domains protein 6 isoform X1" "genome"
"14404" "LOC105326777" "uncharacterized protein LOC105326777" "genome"
"14405" "LOC105326778" "uncharacterized protein LOC105326778" "genome"
"14406" "LOC105326780" "uncharacterized protein LOC105326780" "genome"
"14407" "LOC117691135" "uncharacterized protein LOC117691135 isoform X2" "genome"
"14408" "LOC109619436" "putative nuclease HARBI1" "genome"
"14409" "LOC105324999" "uncharacterized protein LOC105324999" "genome"
"14410" "LOC117691141" "scavenger receptor class F member 1-like" "genome"
"14411" "LOC117691138" "uncharacterized protein LOC117691138" "genome"
"14412" "LOC117691140" "protein PXR1-like" "genome"
"14413" "LOC117691139" "uncharacterized protein LOC117691139" "genome"
"14414" "LOC117691134" "uncharacterized protein LOC117691134 isoform X2" "genome"
"14415" "LOC117691136" "uncharacterized protein LOC117691136" "genome"
"14416" "LOC105318283" "uncharacterized protein LOC105318283" "genome"
"14417" "LOC117691143" "uncharacterized protein LOC117691143" "genome"
"14418" "LOC105318305" "uncharacterized protein LOC105318305" "genome"
"14419" "LOC117692046" "uncharacterized protein LOC117692046" "genome"
"14420" "LOC117692047" "uncharacterized protein LOC117692047" "genome"
"14421" "LOC117691137" "uncharacterized protein LOC117691137" "genome"
"14422" "LOC117691142" "uncharacterized protein LOC117691142" "genome"
"14423" "LOC117691177" "uncharacterized protein LOC117691177" "genome"
"14424" "LOC105329030" "uncharacterized protein LOC105329030" "genome"
"14425" "LOC117690813" "uncharacterized protein LOC117690813" "genome"
"14426" "LOC117692048" "uncharacterized protein LOC117692048" "genome"
"14427" "LOC117692049" "uncharacterized protein LOC117692049" "genome"
"14428" "LOC117690993" "multiple epidermal growth factor-like domains protein 10" "genome"
"14429" "LOC117691266" "platelet endothelial aggregation receptor 1-like" "genome"
"14430" "LOC117691004" "uncharacterized protein LOC117691004" "genome"
"14431" "LOC117690772" "multiple epidermal growth factor-like domains protein 11" "genome"
"14432" "LOC117690774" "multiple epidermal growth factor-like domains protein 11" "genome"
"14433" "LOC117691767" "multiple epidermal growth factor-like domains protein 10" "genome"
"14434" "LOC117691770" "uncharacterized protein LOC117691770 isoform X1" "genome"
"14435" "LOC117691773" "baculoviral IAP repeat-containing protein 3-like isoform X1" "genome"
"14436" "LOC117680361" "uncharacterized protein LOC117680361" "genome"
"14437" "LOC117691774" "calsequestrin-1-like isoform X2" "genome"
"14438" "LOC105328952" "uncharacterized protein LOC105328952" "genome"
"14439" "LOC117691779" "uncharacterized protein LOC117691779" "genome"
"14440" "LOC105343971" "uncharacterized protein LOC105343971" "genome"
"14441" "LOC105343962" "uncharacterized protein LOC105343962" "genome"
"14442" "LOC117680359" "uncharacterized protein LOC117680359" "genome"
"14443" "LOC117691460" "uncharacterized protein LOC117691460 isoform X1" "genome"
"14444" "LOC117691463" "uncharacterized protein LOC117691463" "genome"
"14445" "LOC105319982" "perlucin-like protein" "genome"
"14446" "LOC105320802" "ficolin-2-like" "genome"
"14447" "LOC117691464" "uncharacterized protein LOC117691464" "genome"
"14448" "LOC117691465" "uncharacterized protein LOC117691465" "genome"
"14449" "LOC105320800" "tryptophan--tRNA ligase, mitochondrial" "genome"
"14450" "LOC105320809" "uncharacterized protein LOC105320809" "genome"
"14451" "LOC117680295" "trichohyalin-like" "genome"
"14452" "LOC117691466" "uncharacterized protein LOC117691466" "genome"
"14453" "LOC117692050" "cholecystokinin receptor type A-like" "genome"
"14454" "LOC117691467" "CCR4-NOT transcription complex subunit 2-like isoform X3" "genome"
"14455" "LOC117691468" "uncharacterized protein LOC117691468" "genome"
"14456" "LOC105320267" "vitelline membrane outer layer protein 1" "genome"
"14457" "LOC117680630" "uncharacterized protein LOC117680630" "genome"
"14458" "LOC117691471" "ATP-dependent DNA helicase RecQ-like" "genome"
"14459" "LOC117691470" "uncharacterized protein LOC117691470" "genome"
"14460" "LOC117691472" "uncharacterized protein LOC117691472" "genome"
"14461" "LOC105320279" "uncharacterized protein LOC105320279" "genome"
"14462" "LOC105323935" "uncharacterized protein LOC105323935" "genome"
"14463" "LOC105320266" "chitinase 3" "genome"
"14464" "LOC105320265" "uncharacterized protein LOC105320265" "genome"
"14465" "LOC105320278" "uncharacterized protein LOC105320278" "genome"
"14466" "LOC109617635" "sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like" "genome"
"14467" "LOC117691334" "uncharacterized protein in xynA 3'region-like" "genome"
"14468" "LOC117692051" "sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like" "genome"
"14469" "LOC117691336" "C4b-binding protein-like" "genome"
"14470" "LOC105320261" "C-type lectin domain family 4 member M-like isoform X2" "genome"
"14471" "LOC105320260" "perlucin-like protein" "genome"
"14472" "LOC105320259" "perlucin-like protein" "genome"
"14473" "LOC105320257" "uncharacterized protein LOC105320257" "genome"
"14474" "LOC105320256" "E3 ubiquitin-protein ligase XIAP" "genome"
"14475" "LOC105320255" "ras-related and estrogen-regulated growth inhibitor isoform X1" "genome"
"14476" "LOC117691338" "uncharacterized protein LOC117691338" "genome"
"14477" "LOC105320254" "uncharacterized protein DDB_G0271670 isoform X1" "genome"
"14478" "LOC105320253" "uncharacterized HIT-like protein Synpcc7942_1390" "genome"
"14479" "LOC105320252" "glucose-6-phosphatase 2 isoform X1" "genome"
"14480" "LOC117692052" "uncharacterized protein LOC117692052" "genome"
"14481" "LOC117692053" "uncharacterized protein LOC117692053" "genome"
"14482" "LOC117690804" "P2X purinoceptor 7-like" "genome"
"14483" "LOC117690663" "uncharacterized protein LOC117690663" "genome"
"14484" "LOC117691029" "GTPase IMAP family member 7-like" "genome"
"14485" "LOC117691295" "uncharacterized protein LOC117691295" "genome"
"14486" "LOC117690697" "GTPase IMAP family member 5-like isoform X7" "genome"
"14487" "LOC117690996" "piggyBac transposable element-derived protein 4-like isoform X1" "genome"
"14488" "LOC117691851" "uncharacterized protein LOC117691851" "genome"
"14489" "LOC117692054" "uncharacterized protein LOC117692054" "genome"
"14490" "LOC117692055" "uncharacterized protein LOC117692055" "genome"
"14491" "LOC105337416" "uncharacterized protein LOC105337416" "genome"
"14492" "LOC117691783" "putative nuclease HARBI1" "genome"
"14493" "LOC117680615" "glucose-6-phosphatase 2-like isoform X1" "genome"
"14494" "LOC105323510" "uncharacterized protein LOC105323510" "genome"
"14495" "LOC117692056" "uncharacterized protein LOC117692056" "genome"
"14496" "LOC117692057" "probable ATP-dependent DNA helicase RecS" "genome"
"14497" "LOC117691785" "uncharacterized protein LOC117691785" "genome"
"14498" "LOC117692848" "fibrinogen-like protein 1" "genome"
"14499" "LOC117692847" "fibrinogen-like protein A isoform X2" "genome"
"14500" "LOC105346931" "microfibril-associated glycoprotein 4" "genome"
"14501" "LOC109621063" "ryncolin-2" "genome"
"14502" "LOC117692858" "fibrinogen-like protein A" "genome"
"14503" "LOC105346917" "fibrinogen-like protein A" "genome"
"14504" "LOC105326581" "microfibril-associated glycoprotein 4 isoform X1" "genome"
"14505" "LOC117692864" "fibrinogen-like protein 1" "genome"
"14506" "LOC117680584" "fibrinogen-like protein A" "genome"
"14507" "LOC105335366" "angiopoietin-4" "genome"
"14508" "LOC117692866" "fibrinogen-like protein 1" "genome"
"14509" "LOC117692862" "uncharacterized protein LOC117692862" "genome"
"14510" "LOC105347562" "uncharacterized protein LOC105347562" "genome"
"14511" "LOC105321307" "collagen alpha-1(XIII) chain" "genome"
"14512" "LOC105321305" "selenocysteine-specific elongation factor" "genome"
"14513" "LOC105321302" "deubiquitinase OTUD6B" "genome"
"14514" "LOC105321303" "transmembrane protein 192" "genome"
"14515" "LOC105321301" "inositol monophosphatase 1" "genome"
"14516" "LOC105321300" "ribosome biogenesis protein bop1-A-like isoform X1" "genome"
"14517" "LOC105321299" "uncharacterized protein LOC105321299 isoform X1" "genome"
"14518" "LOC105321298" "uncharacterized protein LOC105321298" "genome"
"14519" "LOC105321297" "uncharacterized protein LOC105321297 isoform X2" "genome"
"14520" "LOC105332549" "uncharacterized protein LOC105332549 isoform X4" "genome"
"14521" "LOC105332548" "pre-mRNA-processing-splicing factor 8" "genome"
"14522" "LOC105325721" "uncharacterized protein LOC105325721" "genome"
"14523" "LOC105325723" "E3 ubiquitin-protein ligase DTX1 isoform X2" "genome"
"14524" "LOC105325724" "coiled-coil domain-containing protein 92" "genome"
"14525" "LOC105324393" "rRNA methyltransferase 1, mitochondrial isoform X2" "genome"
"14526" "LOC105324392" "RING finger protein 10 isoform X2" "genome"
"14527" "LOC105327478" "proline-rich protein 11" "genome"
"14528" "LOC105330804" "fibrinogen-like protein A isoform X1" "genome"
"14529" "LOC117692856" "fibrinogen-like protein A" "genome"
"14530" "LOC105317554" "microfibril-associated glycoprotein 4" "genome"
"14531" "LOC109618720" "fibrinogen-like protein A isoform X1" "genome"
"14532" "LOC117692863" "uncharacterized protein LOC117692863" "genome"
"14533" "LOC117692861" "uncharacterized protein LOC117692861" "genome"
"14534" "LOC117680345" "G2/M phase-specific E3 ubiquitin-protein ligase-like isoform X3" "genome"
"14535" "LOC117680490" "uncharacterized protein LOC117680490 isoform X3" "genome"
"14536" "LOC105346551" "uncharacterized protein LOC105346551" "genome"
"14537" "LOC117692855" "uncharacterized protein LOC117692855" "genome"
"14538" "LOC105331776" "ficolin-1" "genome"
"14539" "LOC105338503" "phosphorylase b kinase regulatory subunit beta isoform X1" "genome"
"14540" "LOC105338502" "Werner syndrome ATP-dependent helicase homolog" "genome"
"14541" "LOC105338501" "protein phosphatase 1 regulatory subunit 16A isoform X1" "genome"
"14542" "LOC105338497" "LOW QUALITY PROTEIN: anoctamin-10" "genome"
"14543" "LOC105338498" "carboxypeptidase N subunit 2" "genome"
"14544" "LOC105338496" "uncharacterized protein LOC105338496 isoform X1" "genome"
"14545" "LOC105338495" "DNA-directed RNA polymerase II subunit RPB11-a" "genome"
"14546" "LOC105338494" "uncharacterized protein LOC105338494" "genome"
"14547" "LOC105338493" "UPF0764 protein C16orf89 homolog" "genome"
"14548" "LOC105338492" "transcription elongation factor SPT6" "genome"
"14549" "LOC105338491" "uncharacterized protein LOC105338491" "genome"
"14550" "LOC105338489" "acyl-CoA dehydrogenase family member 11" "genome"
"14551" "LOC105338488" "excitatory amino acid transporter" "genome"
"14552" "LOC117692868" "neutral amino acid transporter B(0)-like" "genome"
"14553" "LOC109619543" "ficolin-2 isoform X1" "genome"
"14554" "LOC117692867" "ileal sodium/bile acid cotransporter-like" "genome"
"14555" "LOC105325392" "uncharacterized protein LOC105325392" "genome"
"14556" "LOC117692865" "N-lysine methyltransferase KMT5A-like" "genome"
"14557" "LOC117692859" "microfibril-associated glycoprotein 4-like isoform X1" "genome"
"14558" "LOC117692852" "uncharacterized protein LOC117692852" "genome"
"14559" "LOC105324104" "uncharacterized protein LOC105324104" "genome"
"14560" "LOC117692860" "angiopoietin-2-like" "genome"
"14561" "LOC105335365" "angiopoietin-related protein 7" "genome"
"14562" "LOC117692850" "angiopoietin-4-like" "genome"
"14563" "LOC105325378" "protein draper isoform X1" "genome"
"14564" "LOC105325379" "excitatory amino acid transporter isoform X1" "genome"
"14565" "LOC105325380" "excitatory amino acid transporter-like" "genome"
"14566" "LOC105325383" "FYVE and coiled-coil domain-containing protein 1 isoform X6" "genome"
"14567" "LOC105325381" "BTB/POZ domain-containing protein 6" "genome"
"14568" "LOC105325385" "acid phosphatase type 7" "genome"
"14569" "LOC105325388" "N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase" "genome"
"14570" "LOC105325386" "engulfment and cell motility protein 2 isoform X1" "genome"
"14571" "LOC105325390" "uncharacterized protein LOC105325390" "genome"
"14572" "LOC105325391" "fibroleukin" "genome"
"14573" "LOC105325393" "uncharacterized protein LOC105325393" "genome"
"14574" "LOC105335964" "uncharacterized protein LOC105335964" "genome"
"14575" "LOC105327171" "hemoglobin-1-like" "genome"
"14576" "LOC105327172" "nacrein-like protein precursor" "genome"
"14577" "LOC105327174" "cytochrome P450 4F22" "genome"
"14578" "LOC117692874" "cytochrome P450 4F22-like" "genome"
"14579" "LOC117692875" "cytochrome P450 4F22-like" "genome"
"14580" "LOC105327173" "cytochrome P450 4F22 isoform X2" "genome"
"14581" "LOC105327178" "cytochrome P450 4F22 isoform X2" "genome"
"14582" "LOC105327176" "cytochrome P450 4F22 isoform X2" "genome"
"14583" "LOC105327179" "E3 ubiquitin-protein ligase NRDP1" "genome"
"14584" "LOC105327180" "ileal sodium/bile acid cotransporter isoform X2" "genome"
"14585" "LOC105322644" "fibrinogen C domain-containing protein 1-A" "genome"
"14586" "LOC105333582" "microfibril-associated glycoprotein 4 isoform X1" "genome"
"14587" "LOC105333566" "adhesion G-protein coupled receptor D1 isoform X1" "genome"
"14588" "LOC105333565" "PH domain leucine-rich repeat-containing protein phosphatase 2 isoform X2" "genome"
"14589" "LOC105329384" "uncharacterized protein LOC105329384" "genome"
"14590" "LOC105329386" "uncharacterized protein LOC105329386" "genome"
"14591" "LOC105320788" "beta-1,4-galactosyltransferase galt-1" "genome"
"14592" "LOC105320770" "uncharacterized protein LOC105320770" "genome"
"14593" "LOC105340010" "uncharacterized protein LOC105340010" "genome"
"14594" "LOC105327088" "G-protein coupled receptor 161" "genome"
"14595" "LOC105327087" "uncharacterized protein LOC105327087" "genome"
"14596" "LOC105344291" "PRKR-interacting protein 1 homolog" "genome"
"14597" "LOC117692948" "uncharacterized protein LOC117692948" "genome"
"14598" "LOC105329284" "uncharacterized protein LOC105329284" "genome"
"14599" "LOC105344305" "uncharacterized protein LOC105344305 isoform X10" "genome"
"14600" "LOC117692689" "uncharacterized protein LOC117692689" "genome"
"14601" "LOC105322806" "PRKR-interacting protein 1 homolog" "genome"
"14602" "LOC117692688" "uncharacterized protein LOC117692688 isoform X11" "genome"
"14603" "LOC117692949" "uncharacterized protein LOC117692949" "genome"
"14604" "LOC105321170" "uncharacterized protein LOC105321170 isoform X3" "genome"
"14605" "LOC117692681" "uncharacterized protein LOC117692681" "genome"
"14606" "LOC105338195" "uncharacterized protein LOC105338195 isoform X3" "genome"
"14607" "LOC117692686" "uncharacterized protein LOC117692686" "genome"
"14608" "LOC117692685" "uncharacterized protein LOC117692685 isoform X2" "genome"
"14609" "LOC117692682" "uncharacterized protein LOC117692682" "genome"
"14610" "LOC117692690" "tyrosine-protein kinase Fer-like" "genome"
"14611" "LOC117692683" "BTB/POZ domain-containing protein 2-like" "genome"
"14612" "LOC117692684" "uncharacterized protein LOC117692684 isoform X1" "genome"
"14613" "LOC117680494" "uncharacterized protein LOC117680494 isoform X1" "genome"
"14614" "LOC117692679" "tyrosine-protein kinase Fer-like" "genome"
"14615" "LOC105342577" "tyrosine-protein kinase Fer isoform X1" "genome"
"14616" "LOC105320370" "uncharacterized protein LOC105320370" "genome"
"14617" "LOC117692691" "megakaryocyte-associated tyrosine-protein kinase-like" "genome"
"14618" "LOC105318767" "tyrosine-protein kinase Fer-like isoform X1" "genome"
"14619" "LOC117692680" "tyrosine-protein kinase Fer-like" "genome"
"14620" "LOC117692698" "uncharacterized protein LOC117692698" "genome"
"14621" "LOC117692700" "tripartite motif-containing protein 45-like" "genome"
"14622" "LOC109618063" "uncharacterized protein LOC109618063" "genome"
"14623" "LOC117692699" "tyrosine-protein kinase Fer-like isoform X1" "genome"
"14624" "LOC105318750" "UPF0046 protein K07C11.7" "genome"
"14625" "LOC105318749" "potassium voltage-gated channel protein Shaw" "genome"
"14626" "LOC105318746" "SEC14-like protein 2" "genome"
"14627" "LOC105318744" "retinal-binding protein isoform X1" "genome"
"14628" "LOC105318745" "uncharacterized protein LOC105318745" "genome"
"14629" "LOC105318743" "splicing factor ESS-2 homolog" "genome"
"14630" "LOC105318765" "switch-associated protein 70 isoform X1" "genome"
"14631" "LOC105318742" "electron transfer flavoprotein beta subunit lysine methyltransferase" "genome"
"14632" "LOC105318738" "potassium voltage-gated channel protein egl-36" "genome"
